Geneid	gene_name	Mocetinostat_rep3	Mocetinostat_rep2	DMSO_rep2	Mocetinostat_rep1	DMSO_rep3	DMSO_rep1
ENSG00000223972	DDX11L1	0	0	0	0	0	0
ENSG00000227232	WASH7P	0	3	2	1	6	5
ENSG00000278267	MIR6859-1	3	0	7	1	3	3
ENSG00000243485	MIR1302-2HG	0	0	0	0	0	0
ENSG00000284332	MIR1302-2	0	0	0	0	0	0
ENSG00000237613	FAM138A	0	0	0	0	0	0
ENSG00000268020	OR4G4P	0	0	0	0	0	0
ENSG00000240361	OR4G11P	0	0	0	0	0	0
ENSG00000186092	OR4F5	0	0	1	0	0	0
ENSG00000238009	AL627309.1	0	0	0	0	0	0
ENSG00000239945	AL627309.3	0	0	0	0	0	0
ENSG00000233750	CICP27	0	0	0	0	0	0
ENSG00000268903	AL627309.6	0	0	0	0	0	1
ENSG00000269981	AL627309.7	1	0	0	0	0	1
ENSG00000239906	AL627309.2	0	0	0	0	0	0
ENSG00000241860	AL627309.5	0	0	2	0	0	0
ENSG00000222623	RNU6-1100P	0	0	0	0	0	0
ENSG00000241599	AL627309.4	0	0	0	0	0	0
ENSG00000279928	FO538757.1	0	0	0	0	0	0
ENSG00000279457	WASH9P	0	1	6	9	12	20
ENSG00000273874	MIR6859-2	0	0	0	0	0	0
ENSG00000228463	AP006222.1	2	4	2	0	6	11
ENSG00000286448	AP006222.2	0	0	0	0	0	0
ENSG00000236679	RPL23AP24	0	0	0	0	0	0
ENSG00000236601	AL732372.1	0	0	0	0	0	0
ENSG00000237094	AL732372.2	1	0	0	3	0	3
ENSG00000269732	WBP1LP7	0	0	0	0	0	0
ENSG00000284733	OR4F29	0	0	0	0	0	0
ENSG00000233653	CICP7	0	0	0	0	0	0
ENSG00000250575	AL732372.3	0	0	0	0	0	0
ENSG00000278757	U6	0	0	0	0	0	0
ENSG00000230021	AL669831.3	2	0	3	7	3	3
ENSG00000235146	AC114498.1	0	0	0	0	0	0
ENSG00000225972	MTND1P23	3	3	2	5	6	16
ENSG00000225630	MTND2P28	219	158	470	487	543	1028
ENSG00000237973	MTCO1P12	21	12	58	51	59	167
ENSG00000278791	AC114498.2	0	0	0	0	1	0
ENSG00000229344	MTCO2P12	16	5	8	10	15	27
ENSG00000240409	MTATP8P1	0	1	0	0	0	1
ENSG00000248527	MTATP6P1	690	415	1418	1476	1884	3658
ENSG00000198744	MTCO3P12	5	2	10	9	34	39
ENSG00000268663	WBP1LP6	0	0	0	0	0	0
ENSG00000284662	OR4F16	0	0	0	0	0	0
ENSG00000229376	CICP3	4	0	0	0	0	0
ENSG00000228327	AL669831.1	7	1	4	9	17	25
ENSG00000223181	RNU6-1199P	0	0	0	0	0	1
ENSG00000229905	AL669831.2	0	0	0	1	0	0
ENSG00000237491	LINC01409	1	6	5	16	11	8
ENSG00000285268	AL669831.6	0	0	0	0	0	0
ENSG00000230092	AL669831.4	0	0	0	0	2	3
ENSG00000177757	FAM87B	0	0	0	0	0	2
ENSG00000228794	LINC01128	59	35	77	130	154	200
ENSG00000225880	LINC00115	1	0	21	24	10	20
ENSG00000230368	FAM41C	0	0	1	0	0	0
ENSG00000234711	TUBB8P11	2	0	0	0	0	2
ENSG00000283040	AL669831.5	0	0	0	0	0	0
ENSG00000272438	AL645608.6	0	0	0	0	0	0
ENSG00000230699	AL645608.2	4	0	2	11	2	2
ENSG00000241180	AL645608.4	0	0	0	0	0	0
ENSG00000223764	LINC02593	18	5	2	10	7	4
ENSG00000187634	SAMD11	11	4	3	33	9	27
ENSG00000188976	NOC2L	318	230	1001	737	1552	1906
ENSG00000187961	KLHL17	34	22	51	53	68	94
ENSG00000187583	PLEKHN1	4	3	24	10	41	38
ENSG00000187642	PERM1	1	1	0	2	0	0
ENSG00000272512	AL645608.7	10	6	13	16	20	30
ENSG00000188290	HES4	47	33	63	86	78	122
ENSG00000187608	ISG15	61	41	87	137	148	162
ENSG00000231702	AL645608.3	0	0	0	0	0	0
ENSG00000224969	AL645608.1	1	0	0	0	1	2
ENSG00000188157	AGRN	966	723	1319	2147	1843	2664
ENSG00000242590	AL645608.5	0	0	0	0	0	0
ENSG00000217801	AL390719.1	53	43	67	109	88	122
ENSG00000273443	AL645608.8	0	0	0	5	0	0
ENSG00000237330	RNF223	0	1	0	2	0	0
ENSG00000131591	C1orf159	28	8	81	56	131	240
ENSG00000285812	AL390719.3	0	1	0	0	0	0
ENSG00000223823	LINC01342	0	0	0	0	0	0
ENSG00000207730	MIR200B	0	0	0	0	0	0
ENSG00000207607	MIR200A	0	0	0	0	0	0
ENSG00000198976	MIR429	0	0	0	0	0	0
ENSG00000272141	AL390719.2	0	0	0	3	0	0
ENSG00000205231	TTLL10-AS1	0	0	0	0	0	0
ENSG00000162571	TTLL10	1	0	0	2	0	0
