circRNAs	Normal1_count	Normal2_count	Normal3_count	Tumor1_count	Tumor2_count	Tumor3_count
novel_circ_000004	2.738302458	8.194621006	0	29.99678273	0	0
novel_circ_000005	5.476604917	12.01877748	0	66.51460518	54.15591979	0
novel_circ_000013	51.11497922	15.84293395	3.453778667	20.86732712	77.36559969	0
novel_circ_000027	6.389372403	8.740929073	2.197859152	9.129455613	0	0
novel_circ_000029	26.4702571	32.77848402	0	7.825247669	15.47311994	0
novel_circ_000030	1.825534972	2.185232268	4.081738424	22.17153506	0	0
novel_circ_000032	4.56383743	4.370464537	0	0	0	29.58713856
novel_circ_000033	2.738302458	0.546308067	0	22.17153506	0	88.76141567
novel_circ_000069	3.651069944	8.740929073	0	20.86732712	0	0
novel_circ_000074	0	0.546308067	0	5.216831779	7.736559969	0
novel_circ_000077	2.738302458	1.638924201	0	1.304207945	0	0
novel_circ_000082	5.476604917	13.65770168	0	24.77995095	61.89247975	0
novel_circ_000087	0	2.185232268	0	9.129455613	61.89247975	0
novel_circ_000088	8.214907375	9.833545207	9.105416485	7.825247669	0	0
novel_circ_000096	19.16811721	8.740929073	5.33765794	20.86732712	0	0
novel_circ_000099	5.476604917	7.102004872	0	0	7.736559969	0
novel_circ_000105	14.60427978	9.833545207	0	2.60841589	0	0
novel_circ_000113	9.127674861	4.916772604	2.51183903	74.33985285	0	20.01482902
novel_circ_000117	15.51704726	24.03755495	26.6882897	78.25247669	162.4677594	0
novel_circ_000119	0.912767486	3.277848402	16.01297382	0	0	0
novel_circ_000133	13.69151229	69.38112452	18.21083297	44.34307012	61.89247975	53.95301737
novel_circ_000135	44.72560682	20.21339848	37.36360558	0	0	0
novel_circ_000138	0	1.092616134	2.197859152	0	50.2876398	0
novel_circ_000157	0.912767486	3.82415647	3.139798788	15.65049534	0	0
novel_circ_000162	31.03409453	22.39863075	14.12909455	33.90940656	0	15.66377924
novel_circ_000164	48.37667676	30.59325176	21.35063176	0	0	0
novel_circ_000165	21.90641967	6.009388738	2.51183903	0	0	0
novel_circ_000166	85.80014369	88.50190687	129.6736899	33.90940656	54.15591979	73.09763644
novel_circ_000168	312.1664802	117.4562344	77.86700994	176.0680725	81.23387968	0
novel_circ_000169	19.16811721	3.82415647	6.279597576	5.216831779	0	0
novel_circ_000172	16.42981475	7.648312939	2.51183903	49.5599019	0	0
novel_circ_000173	4.56383743	4.916772604	5.651637818	57.38514957	96.70699962	16.53398919
novel_circ_000176	0	3.277848402	3.453778667	2.60841589	0	0
novel_circ_000211	7.302139889	0	9.105416485	0	34.81451986	0
novel_circ_000216	2.738302458	7.102004872	0	0	27.07795989	0
novel_circ_000217	30.12132704	51.89926637	16.01297382	18.25891123	30.94623988	16.53398919
novel_circ_000218	11.86597732	19.66709041	14.44307442	27.38836684	3.868279985	0
novel_circ_000220	6.389372403	3.82415647	0	6.521039724	3.868279985	0
novel_circ_000222	11.86597732	4.370464537	0	5.216831779	19.34139992	0
novel_circ_000229	3.651069944	4.370464537	0	11.7378715	0	0
novel_circ_000230	10.95320983	6.009388738	5.651637818	0	0	0
novel_circ_000231	347.7644122	261.1352561	75.98313067	196.9353997	15.47311994	0
novel_circ_000234	1.825534972	1.638924201	0	18.25891123	0	0
novel_circ_000243	7.302139889	2.185232268	3.767758546	0	0	0
novel_circ_000247	3.651069944	1.638924201	20.40869212	0	0	0
novel_circ_000253	87.62567866	40.42679696	40.50340437	36.51782245	0	46.99133771
novel_circ_000258	34.68516447	14.75031781	12.24521527	0	0	0
novel_circ_000261	1.825534972	2.185232268	18.52481285	0	0	0
novel_circ_000265	22.81918715	3.277848402	12.87317503	11.7378715	0	0
novel_circ_000267	3.651069944	4.370464537	2.825818909	0	0	0
