ensembl_gene_id	entrez_id	hgnc_symbol	gene_biotype	ensembl_gene_id	S168	S190	S255	S320	S420	S458	S487	S622	S623	S783	S832	S912
ENSG00000000003	7105	TSPAN6	protein_coding	ENSG00000000003	1773.1882	1098.5168	1784.6064	1432.1728	1021.4001	1549.2492	791.6575	2002.2694	959.8006	904.5726	2942.0969	1942.2679
ENSG00000000005	64102	TNMD	protein_coding	ENSG00000000005	0.5612	0	0	1.9863	0	0.5621	0	0	0	0.5585	0	5.4343
ENSG00000000419	8813	DPM1	protein_coding	ENSG00000000419	1134.3212	1182.9915	2132.6121	1808.7104	1698.9242	2054.1758	855.2095	1380.3029	1493.0929	1017.1306	2238.2049	1621.9507
ENSG00000000457	57147	SCYL3	protein_coding	ENSG00000000457	183.3821	126.994	275.6044	221.935	108.8139	247.9634	77.3581	201.2106	132.596	116.8619	235.6933	171.4195
ENSG00000000460	55732	C1orf112	protein_coding	ENSG00000000460	579.1468	559.0203	1187.1101	753.5662	601.849	1054.9044	380.6609	575.4942	560.3602	503.2317	925.0158	637.6353
ENSG00000000938	2268	FGR	protein_coding	ENSG00000000938	0.2258	0	0.5335	0	0.5597	1.0108	0	0.2409	0.2435	0.5891	0	0.5315
ENSG00000000971	3075	CFH	protein_coding	ENSG00000000971	9.066	10.7215	20.8962	7.6541	9.5467	27.3334	2.8898	5.5386	8.4822	3.0502	8.8475	2.9833
ENSG00000001036	2519	FUCA2	protein_coding	ENSG00000001036	934.4127	1069.1854	2349.2864	1509.2062	1009.3345	1890.123	657.909	1005.0293	854.6604	1216.4268	1066.4395	812.6826
ENSG00000001084	2729	GCLC	protein_coding	ENSG00000001084	454.5011	551.1692	1272.3331	654.3517	477.8739	966.7709	399.5364	474.7296	446.1659	485.743	654.443	489.2623
ENSG00000001167	4800	NFYA	protein_coding	ENSG00000001167	447.6573	353.3867	1107.1174	568.4299	341.936	833.1614	289.8975	453.4048	336.2326	398.9303	498.8452	341.9671
ENSG00000001460	90529	STPG1	protein_coding	ENSG00000001460	255.6181	271.2268	352.199	317.0944	217.484	310.6767	155.6023	306.4008	217.4773	186.7516	424.8678	303.9124
ENSG00000001461	57185	NIPAL3	protein_coding	ENSG00000001461	919.7868	882.4882	1144.3436	992.6803	569.9339	861.8901	543.1195	955.582	613.1769	713.1077	1331.6553	937.7431
ENSG00000001497	81887	LAS1L	protein_coding	ENSG00000001497	937.1811	907.0438	2199.6458	1146.1839	823.1674	1679.3441	533.5689	1024.3033	778.5731	963.2578	1411.8044	929.7935
ENSG00000001561	22875	ENPP4	protein_coding	ENSG00000001561	501.2969	597.6441	854.0971	783.2202	481.3657	777.4432	408.2118	547.0763	478.7615	452.9058	788.9846	549.7303
ENSG00000001617	6405	SEMA3F	protein_coding	ENSG00000001617	66.4992	17.7684	94.3491	46.7316	29.2348	67.9522	15.6688	62.6586	20.4276	21.6418	42.9502	29.3218
ENSG00000001626	1080	CFTR	protein_coding	ENSG00000001626	16.8331	10.6686	7.9184	9.0485	5.8535	2.971	9.2641	6.3376	5.729	8.2974	10.4486	4.0886
ENSG00000001629	54467	ANKIB1	protein_coding	ENSG00000001629	1036.006	800.4595	1051.8379	1186.973	491.3368	925.1642	557.2233	1019.0157	550.3515	593.1072	1426.2557	946.3486
ENSG00000001630	1595	CYP51A1	protein_coding	ENSG00000001630	3386.6834	2301.9672	3636.9503	3369.9338	1431.4943	2951.4847	1462.1726	3693.3133	1426.8624	2612.6917	4025.844	2964.3221
ENSG00000001631	889	KRIT1	protein_coding	ENSG00000001631	892.5231	746.1813	1062.5163	1002.0891	429.1618	916.7713	422.6282	928.4221	425.2304	659.2942	1170.9131	1027.2017
ENSG00000002016	5893	RAD52	protein_coding	ENSG00000002016	262.1756	243.0013	464.9017	277.9651	181.2185	385.1636	161.2188	302.663	146.5136	203.8008	355.4434	343.2435
ENSG00000002079	NA	MYH16	unitary_pseudogene	ENSG00000002079	0.7894	8.6617	0.3813	0.1291	0.568	0.6518	0.5709	0.0718	0.5054	1.9442	2.6197	1.3608
ENSG00000002330	572	BAD	protein_coding	ENSG00000002330	1403.7438	567.5463	2366.1935	1295.7521	710.368	2090.9975	327.3603	1689.8159	747.7488	883.15	1069.8285	770.691
ENSG00000002549	51056	LAP3	protein_coding	ENSG00000002549	1050.5099	1046.2281	2031.7711	1305.906	897.3635	1592.0392	686.5191	1208.1111	854.4904	982.7611	1812.1158	1254.5424
ENSG00000002586	4267	CD99	protein_coding	ENSG00000002586	4822.5932	331.591	6374.2871	489.2684	1944.3845	5237.5107	162.7612	5378.5188	2103.1472	334.4053	4967.5875	3717.8812
ENSG00000002587	9957	HS3ST1	protein_coding	ENSG00000002587	5.321	0	2.4927	0.076	0.5058	3.1951	0.0861	12.5263	0	0.0915	6.4467	4.1491
ENSG00000002726	26	AOC1	protein_coding	ENSG00000002726	0.4899	0.6229	0.9647	0	0.3859	0.3896	0.1643	0.6957	0.7544	0.9981	0	0.9502
ENSG00000002745	51384	WNT16	protein_coding	ENSG00000002745	110.2039	42.0603	59.5667	92.861	25.5776	47.7313	29.5791	112.2429	28.7202	56.2603	90.6844	59.9997
ENSG00000002746	23072	HECW1	protein_coding	ENSG00000002746	8.0442	0.8941	5.3224	2.3385	6.7743	7.3967	0.3259	26.8862	2.5238	3.6206	3.1409	7.883
ENSG00000002822	8379	MAD1L1	protein_coding	ENSG00000002822	460.2874	518.3875	646.6574	468.7455	344.8011	519.8206	317.0521	542.3302	285.5176	424.8275	738.5377	483.8246
ENSG00000002834	3927	LASP1	protein_coding	ENSG00000002834	627.7791	648.5953	736.3255	642.7756	304.7529	555.2059	326.0801	685.8293	312.5257	519.7796	832.5653	590.4842
ENSG00000002919	29916	SNX11	protein_coding	ENSG00000002919	346.3864	320.3608	600.0397	349.2875	298.9744	452.5665	154.4999	399.5476	264.6664	261.6782	505.1761	353.7731
ENSG00000002933	55365	TMEM176A	protein_coding	ENSG00000002933	4.9498	0	14.1252	4.1204	0	9.5691	0	2.198	1.2744	7.5138	0	2.3941
ENSG00000003056	4074	M6PR	protein_coding	ENSG00000003056	3117.8917	3390.4048	5355.9279	4055.9108	2631.788	4065.2052	2079.7389	3411.4722	2284.2012	2463.8279000000002	5698.4146	3992.6877
ENSG00000003096	90293	KLHL13	protein_coding	ENSG00000003096	305.895	259.8352	392.2642	387.1319	175.0747	340.4037	205.5298	339.2982	196.3586	255.7012	431.2552	320.4949
ENSG00000003137	56603	CYP26B1	protein_coding	ENSG00000003137	41.505	18.7587	32.594	12.5949	7.4962	23.296	4.0804	38.8763	8.1374	7.3102	20.9838	24.8926
ENSG00000003147	3382	ICA1	protein_coding	ENSG00000003147	285.6884	194.2341	162.0381	301.2103	58.733	118.2358	102.9357	292.2959	94.7642	175.7618	345.2928	242.3295
ENSG00000003249	79007	DBNDD1	protein_coding	ENSG00000003249	580.0557	456.4722	628.1447	547.1242	222.429	465.0161	208.224	655.4215	255.8391	419.8896	725.9549	530.26
ENSG00000003393	57679	ALS2	protein_coding	ENSG00000003393	454.5841	448.5397	661.3747	485.8351	327.6536	511.356	337.5411	469.9047	356.685	348.8586	735.5828	535.0023
ENSG00000003400	843	CASP10	protein_coding	ENSG00000003400	36.3946	49.923	65.0021	56.2038	29.2687	48.8024	32.1015	46.9914	36.873	43.2612	43.1682	34.9236
ENSG00000003402	8837	CFLAR	protein_coding	ENSG00000003402	442.9041	363.9355	596.3235	484.79880000000003	267.6285	482.2232	184.0262	539.1762	320.0782	340.9263	664.1743	488.6293
ENSG00000003436	7035	TFPI	protein_coding	ENSG00000003436	390.6518	249.1324	378.2472	464.8221	181.0234	294.098	165.346	449.8333	198.4069	205.6848	395.8758	405.2832
ENSG00000003509	55471	NDUFAF7	protein_coding	ENSG00000003509	372.8253	356.307	629.9996	590.584	322.0963	553.8161	230.4099	410.1627	327.2266	354.5663	589.8308	499.7487
