ensembl	WT_10_1	WT_10_2	WT_10_3	Leo1_10_4	Leo1_10_5	Leo1_10_6	WT_01_7	WT_01_8	WT_01_9	Leo1_01_10	Leo1_01_11	Leo1_01_12
ENSG00000223972	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000227232	20	16	12	12	26	21	23	10	21	20	13	27
ENSG00000278267	2	1	3	1	1	0	2	0	0	0	3	0
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	1	0	0	2	1	0	0	0	0	2	1	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268903	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000269981	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239906	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241860	1	0	2	4	2	3	0	2	4	8	3	7
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	1	1	0	0	0	1	0	0	4	1	0	1
ENSG00000279457	32	29	20	26	40	36	36	17	35	25	29	39
ENSG00000273874	0	0	0	0	1	0	3	0	0	0	0	0
ENSG00000228463	2	4	0	13	26	11	9	3	6	10	22	33
ENSG00000286448	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679	0	1	0	0	0	0	1	0	2	1	0	1
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	2	2	1	1	1	1	2	7	5	0	2	2
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	0	1	1	1	2	2	3	0	1	2	1	3
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	4	2	0	3	2	4	4	0	4	5	4	3
ENSG00000225630	735	944	864	1463	1803	1862	1285	960	1408	1981	1612	1067
ENSG00000237973	263	273	235	220	291	278	295	245	377	327	287	172
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	19	15	15	9	23	17	14	10	12	28	12	20
ENSG00000240409	1	1	0	1	0	2	0	0	2	0	0	2
ENSG00000248527	3797	4331	4388	5730	7547	7072	5609	4347	7442	8361	6983	4782
ENSG00000198744	10	5	9	11	13	17	13	9	9	13	18	6
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327	10	16	5	22	15	11	27	14	34	11	16	29
ENSG00000223181	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237491	3	2	1	2	10	6	7	10	12	6	3	7
ENSG00000285268	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092	7	10	5	5	15	1	7	5	17	9	10	5
ENSG00000177757	1	0	0	0	1	0	0	1	1	1	1	0
ENSG00000228794	331	304	385	543	619	571	532	407	384	831	791	710
ENSG00000225880	3	3	1	10	7	4	6	2	5	8	2	3
ENSG00000288531	0	0	0	0	1	1	0	0	0	1	1	2
ENSG00000230368	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234711	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283040	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	4	3	3	5	2	8	6	1	8	5	5	8
ENSG00000230699	15	17	10	38	20	57	19	10	6	14	19	22
ENSG00000241180	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	172	157	157	151	152	256	201	160	142	172	229	119
ENSG00000187634	360	330	439	409	374	707	2606	2458	510	1747	2786	760
ENSG00000188976	2353	2618	2970	4165	4889	4663	2544	2186	2252	3821	3902	3234
ENSG00000187961	178	233	176	227	232	295	233	141	190	131	238	306
ENSG00000187583	113	136	117	101	140	85	78	59	98	79	120	74
ENSG00000187642	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000272512	3	3	5	11	10	35	2	12	7	17	7	14
ENSG00000188290	230	243	397	424	482	759	213	210	231	495	459	367
ENSG00000187608	380	396	511	3449	5696	1870	276	342	399	2370	2322	1317
ENSG00000231702	0	0	0	0	0	1	1	0	0	0	0	0
ENSG00000224969	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188157	13618	16029	16477	35521	43291	30485	8899	7097	6705	22159	18016	16101
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	8	10	39	38	50	53	11	16	20	83	95	65
ENSG00000273443	0	0	0	0	1	0	0	0	0	0	0	0
